Plant_Species,Insect_Species
Prunus_virginiana,Xestia_c-nigrum
Prunus_davidiana,Melanchra_persicariae
Prunus_cerasifera,Lacinipolia_comis
Amygdalus_communis,Helicoverpa_armigera
Prunus_kansuensis,Antoculeora_ornatissima
Prunus_armeniaca,Acronicta_strigosa
Prunus_tomentosa,Capis_curvata
Amygdalus_davidiana,Sphragifera_sigillata
Armeniaca_vulgaris,Cucullia_scopariae
Prunus_yedoensis,Allophyes_oxyacanthae
Prunus_campanulata,Acronicta_tridens
Prunus_avium,Acronicta_rumicis
Crataegus_pinnatifida,Chytolita_morbidalis
Pyrus_phaeocarpa,Orgyia_recens
Pyrus_ussuriensis,Lophomilia_polybapta
Photinia_x_fraseri,Acronicta_major
Salix_amphibola,Acronicta_hercules
Kerria_japonica,Actias_selene
Rubus_corchorifolius,Calliteara_pudibunda
Rosa_sericea,Calliteara_sp.
Ficus_erecta,Calliteara_conjuncta
Ficus_carica,Calliteara_contexta
Broussonetia_papyrifera,Euproctis_striata
Morus_alba,Chionarctia_nivea
Morus_australis,Lemyra_flavalis
Celtis_sinensis,Rhyparioides_amurensis
Celtis_biondii,Phalera_alpherakyi
Ulmus_macrocarpa,Phalera_flavescens
Ulmus_pumila,Phalera_takasagoensis
Elaeagnus_umbellata,Datana_contracta
Ziziphus_jujuba,Eligma_narcissus
Quercus_acutissima,Hyperaeschrella_nigribasis
Quercus_dentata,Nerice_davidi
Castanea_mollissima,Marumba_gaschkewitschii
Juglans_regia,Fentonia_ocypete
Carya_glabra,Dudusa_sphingiformis
Styphnolobium_japonicum,Clostera_anachoreta
Astragalus_strictus,Pantana_ampla
Populus_davidiana,Choristoneura_diversana
Salix_babylonica,Asaphistis_protosema
Euonymus_hamiltonianus,Narosoideus_flavidorsalis
Acer_wilsonii,Parasa_sinica
Koelreuteria_paniculata,Setora_postornata
Rhus_typhina,Parasa_consocia
Zanthoxylum_schinifolium,Pangrapta_bicornuta
Abutilon_theophrasti,Pangrapta_trimantesalis
Brassica_oleracea,Pangrapta_disruptalis
Corylopsis_willmottiae,Dasystoma_salicella
Corylopsis_multiflora,Argynnis_hyperbius
Liquidambar_formosana,Pieris_rapae
Rumex_crispus,Ourapteryx_pluristrigata
Fraxinus_pennsylvanica,Ophthalmitis_albosignaria
Fraxinus_xanthoxyloides,Alcis_AH03Ch
Osmanthus_delavayi,Jankowskia_fuscaria
Paulownia_kawakamii,Cabera_AH01Ch
Cynanchum_wilfordii,Chorodna_ochreimacula
Ipomoea_purpurea,Jankowskia_athleta
Artemisia_annua,Abraxas_leopardina
Artemisia_capillaris,Abraxas_latifasciata
Diospyros_kaki,Abraxas_sp.ABZ2014
Diospyros_lotus,Biston_panterinaria
Schima_superba,Hypomecis_AH01Ch
Coriaria_nepalensis,Hypomecis_punctinalis
Cinnamomum_camphora,Melanthia_AH01Ch
Bambusa_ventricosa,Euphyia_intermediata
Fargesia_nitida,Euproctis_piperita
Ailanthus_altissima,Somena_scintillans
Citrus_sinensis,Euproctis_similis
Phyllostachys_nigra,Kunugia_yamadai
Fargesia_funiushanensis,Garaeus_AH01Ch
,Maxates_sinuolata
,Trabala_pallida
,Quasinarosa_fulgens
,Xerodes_AH01Ch
,Lebeda_nobilis
,Palirisa_sp.
,Thyatira_batis
,Papilio_xuthus
,Locastra_muscosalis
,Heliocheilus_fervens
,Illiberis_ulmivora
,Eterusia_aedea
,Eumorphobotys_eumorphalis
,Sitochroa_verticalis
,Loxostege_turbidalis
,Patania_balteata
,Pleuroptya_harutai
,Chrysomela_salicivorax
,Nematus_shinoharai
,Euura_viduata
,Euura_miliaris
,Tenthredo_kongauana
,Tenthredo_pseudoberyllica
,Allantus_calliblepharus
,Eriocampa_ovata
,Arge_pullata
